"","sample_number","sample_name","samplename_sequencing_manifest","final_libary_names","dship_operation","niskin.bottle","description","Est_depth","Other_Depth_m","Bottle_Depth_m","Bottle_Temp","Bottle_Salinity","type","date_filtered","volume_filtered","rna_shield","filtered_by","field_box_cell","location_field","notes","sample_conc_ng.ul","extracted.by","extracted.on","final_storage_box_cell","sequencing_job","sequencing_run_plate_well","sequencing_notes","sequencing_job_2","sample_sequencing2_manifest2","sequencing2_run_plate_well","sequencing2_notes","libraryname_pro","libraryname_euk","proQC","eukQC"
"20200701_PS_N24_766_18S.exp.",766,"20200701_PS_N24","20200701_PS_N24_766","20200701_PS_N24_766","PS122/4_45-31 CTD_SBE9plus_321","24","Ocean/BGC/ECO weekly ""deep"" CTD cast","",NA,31.295,-1.6855,34.0122,"CTD","20200701","1000","no","emelia","14-69","JBCOLD_1","","3.31","emelia",20201125,"9_27","2012220-1","3_8_F2","","","","","","20200701_PS_N24_766_16S.exp.","20200701_PS_N24_766_18S.exp.",NA,NA
"20200702_FT_DNA_767_18S.exp.",767,"20200702_FT_DNA","20200702_FT_DNA_767","20200702_FT_DNA_767","PS122/4_45-109 seawatertap_ps","","02.07.2020 17:40","11 m",11,NA,NA,NA,"FT_DNA","20200702","1000","no","emelia","14-70","JBCOLD_1","","10.7","emelia",20201125,"9_28","2012220-1","3_8_F3","","","","","","20200702_FT_DNA_767_16S.exp.","20200702_FT_DNA_767_18S.exp.",NA,NA
"20200703_FT_DNA_768_18S.exp.",768,"20200703_FT_DNA","20200703_FT_DNA_768","20200703_FT_DNA_768","PS122/4_45-110 seawatertap_ps","","03.07.2020 17:20","11 m",11,NA,NA,NA,"FT_DNA","20200703","1000","no","emelia","14-71","JBCOLD_1","","5.1","emelia",20201125,"9_29","2012220-1","3_8_F4","","","","","","20200703_FT_DNA_768_16S.exp.","20200703_FT_DNA_768_18S.exp.",NA,NA
"20200704_FT_DNA_769_18S.exp.",769,"20200704_FT_DNA","20200704_FT_DNA_769","20200704_FT_DNA_769","PS122/4_45-111 seawatertap_ps","","04.07.2020 14:38","11 m",11,NA,NA,NA,"FT_DNA","20200704","1000","no","emelia","14-72","JBCOLD_1","","6.41","emelia",20201125,"9_30","2012220-1","3_8_F5","","","","","","20200704_FT_DNA_769_16S.exp.","20200704_FT_DNA_769_18S.exp.",NA,NA
"20200705_FT_DNA_770_18S.exp.",770,"20200705_FT_DNA","20200705_FT_DNA_770","20200705_FT_DNA_770","PS122/4_45-134 seawatertap_ps","","05.07.2020 14:54","11 m",11,NA,NA,NA,"FT_DNA","20200705","1000","no","emelia","14-73","JBCOLD_1","","12.6","emelia",20201125,"9_31","2012220-1","3_8_F6","","","","","","20200705_FT_DNA_770_16S.exp.","20200705_FT_DNA_770_18S.exp.",NA,NA
"20200706_FT_DNA_771_18S.exp.",771,"20200706_FT_DNA","20200706_FT_DNA_771","20200706_FT_DNA_771","PS122/4_46-10 seawatertap_ps","","06.07.2020 16:45","11 m",11,NA,NA,NA,"FT_DNA","20200706","1000","no","emelia","14-74","JBCOLD_1","","4.62","emelia",20201125,"9_32","2012220-1","3_8_F7","","","","","","20200706_FT_DNA_771_16S.exp.","20200706_FT_DNA_771_18S.exp.",NA,NA
"20200706_PS_N2_772_18S.exp.",772,"20200706_PS_N2","20200706_PS_N2_772","20200706_PS_N2_772","PS122/4_46-2 CTD_SBE9plus_321","2","MethOx/BGC CTD cast","",NA,773.142,-0.1298,34.9177,"CTD","20200706","1000","no","emelia","14-75","JBCOLD_1","","0.718","emelia",20201125,"9_33","2012220-1","3_8_F8","","","","","","20200706_PS_N2_772_16S.exp.","20200706_PS_N2_772_18S.exp.",NA,NA
"20200706_PS_N6_773_18S.exp.",773,"20200706_PS_N6","20200706_PS_N6_773","20200706_PS_N6_773","PS122/4_46-2 CTD_SBE9plus_321","6","MethOx/BGC CTD cast","",NA,354.121,1.6211,34.914,"CTD","20200706","1000","no","emelia","14-76","JBCOLD_1","","1.14","emelia",20201125,"9_34","2012220-1","3_8_F9","","","","","","20200706_PS_N6_773_16S.exp.","20200706_PS_N6_773_18S.exp.",NA,NA
"20200706_PS_N8_774_18S.exp.",774,"20200706_PS_N8","20200706_PS_N8_774","20200706_PS_N8_774","PS122/4_46-2 CTD_SBE9plus_321","8","MethOx/BGC CTD cast","",NA,232.597,2.2089,34.9172,"CTD","20200706","1000","no","emelia","14-77","JBCOLD_1","","1.79","emelia",20201125,"9_35","2012220-1","3_8_F10","","","","","","20200706_PS_N8_774_16S.exp.","20200706_PS_N8_774_18S.exp.",NA,NA
"20200706_PS_N11_776_18S.exp.",776,"20200706_PS_N11","20200706_PS_N11_776","20200706_PS_N11_776","PS122/4_46-2 CTD_SBE9plus_321","11","MethOx/BGC CTD cast","",NA,101.096,-1.1618,34.2335,"CTD","20200706","1000","no","emelia","14-79","JBCOLD_1","","1.81","emelia",20201125,"9_36","2012220-1","3_8_F11","","","","","","20200706_PS_N11_776_16S.exp.","20200706_PS_N11_776_18S.exp.",NA,NA
"20200706_PS_N12_777_18S.exp.",777,"20200706_PS_N12","20200706_PS_N12_777","20200706_PS_N12_777","PS122/4_46-2 CTD_SBE9plus_321","12","MethOx/BGC CTD cast","",NA,51.592,-1.7629,33.9983,"CTD","20200706","1000","no","emelia","14-80","JBCOLD_1","","3.9","emelia",20201125,"9_37","2012220-1","3_8_F12","","","","","","20200706_PS_N12_777_16S.exp.","20200706_PS_N12_777_18S.exp.",NA,NA
"20200706_PS_N14_778_18S.exp.",778,"20200706_PS_N14","20200706_PS_N14_778","20200706_PS_N14_778","PS122/4_46-2 CTD_SBE9plus_321","14","MethOx/BGC CTD cast","",NA,14.255,-1.7292,33.7583,"CTD","20200706","1000","no","emelia","14-81","JBCOLD_1","","11.2","emelia",20201125,"9_38","2012220-1","3_8_G1","","","","","","20200706_PS_N14_778_16S.exp.","20200706_PS_N14_778_18S.exp.",NA,NA
"20200706_PS_N24_780_18S.exp.",780,"20200706_PS_N24","20200706_PS_N24_780","20200706_PS_N24_780","PS122/4_46-2 CTD_SBE9plus_321","24","MethOx/BGC CTD cast","",NA,1.761,-1.7143,33.7534,"CTD","20200706","1000","no","emelia","16-02","JBCOLD_1","","11","emelia",20201125,"9_39","2012220-1","3_8_G2","needs to be resequenced due to bad library build"," A21604-1","20200706_PS_N24_780","1_1_E8","","20200706_PS_N24_780_16S.exp.","20200706_PS_N24_780_18S.exp.","A",NA
"20200707_FT_DNA_782_18S.exp.",782,"20200707_FT_DNA","20200707_FT_DNA_782","20200707_FT_DNA_782","PS122/4_46-34 seawatertap_ps","","07.07.2020 18:40","11 m",11,NA,NA,NA,"FT_DNA","20200707","1000","no","emelia","16-04","JBCOLD_1","","10.8","emelia",20201125,"9_40","2012220-1","3_8_G3","needs to be resequenced due to bad library build"," A21604-1","20200707_FT_DNA_782","1_1_E9","","20200707_FT_DNA_782_16S.exp.","20200707_FT_DNA_782_18S.exp.",NA,NA
"20200706_FYI_bottom15cm_783_18S.exp.",783,"20200706_FYI_bottom15cm","20200706_FYI_bottom15cm_783","20200706_FYI_bottom15cm_783","PS122/4_46-18 SI_corer_9cm","","FYI coring - plot selected 30m from 0.29.2020 spot. Area slightly drained, direct melt in gastight bag methox T0","",NA,NA,NA,NA,"ICE","20200707","175","no ","emelia","16-05","JBCOLD_1","","10.7","emelia",20201125,"9_42","2012220-1","3_8_G4","needs to be resequenced due to bad library build"," A21604-1","20200706_FYI_bottom15cm_783","1_1_E6","","20200706_FYI_bottom15cm_783_16S.exp.","20200706_FYI_bottom15cm_783_18S.exp.","A",NA
"20200708_FT_DNA_785_18S.exp.",785,"20200708_FT_DNA","20200708_FT_DNA_785","20200708_FT_DNA_785","PS122/4_46-54 seawatertap_ps","","08.07.2020 18:35","11 m",11,NA,NA,NA,"FT_DNA","20200708","1000","no","emelia","16-07","JBCOLD_1","","18.1","emelia",20201125,"9_43","2012220-1","3_8_G5","","","","","","20200708_FT_DNA_785_16S.exp.","20200708_FT_DNA_785_18S.exp.",NA,NA
"20200627_B12_TF_E_786_18S.exp.",786,"20200627_B12_TF_E","20200627_B12_TF_E_786","20200627_B12_TF_E_786","PS122/4_44-234 hand pump","","end of B12 experiment -  Nuts","",NA,NA,NA,NA,"experiment","20200708","200","no","emelia","16-08","JBCOLD_1","","0.21","emelia",20201125,"9_44","2012220-1","3_8_G6","needs to be resequenced due to bad library build"," A21604-1","20200627_B12_TF_E_786","1_1_D11","","20200627_B12_TF_E_786_16S.exp.","20200627_B12_TF_E_786_18S.exp.",NA,"A"
"20200627_B12_TF_B_787_18S.exp.",787,"20200627_B12_TF_B","20200627_B12_TF_B_787","20200627_B12_TF_B_787","PS122/4_44-234 hand pump","","end of B12 experiment -  Control","",NA,NA,NA,NA,"experiment","20200708","425","no","emelia","16-09","JBCOLD_1","","5.03","emelia",20201125,"9_45","2012220-1","3_8_G7","needs to be resequenced due to bad library build"," A21604-1","20200627_B12_TF_B_787","1_1_D10","","20200627_B12_TF_B_787_16S.exp.","20200627_B12_TF_B_787_18S.exp.",NA,NA
"20200627_B12_TF_A_788_18S.exp.",788,"20200627_B12_TF_A","20200627_B12_TF_A_788","20200627_B12_TF_A_788","PS122/4_44-234 hand pump","","end of B12 experiment -  Control","",NA,NA,NA,NA,"experiment","20200708","600","no","emelia","16-10","JBCOLD_1","","0.58","emelia",20201125,"9_46","2012220-1","3_8_G8","needs to be resequenced due to bad library build"," A21604-1","20200627_B12_TF_A_788","1_1_D9","","20200627_B12_TF_A_788_16S.exp.","20200627_B12_TF_A_788_18S.exp.",NA,"B"
"20200627_B12_TF_D_789_18S.exp.",789,"20200627_B12_TF_D","20200627_B12_TF_D_789","20200627_B12_TF_D_789","PS122/4_44-234 hand pump","","end of B12 experiment -  Nuts","",NA,NA,NA,NA,"experiment","20200708","550","no","emelia","16-11","JBCOLD_1","","2.59","emelia",20201125,"9_47","2012220-1","3_8_G9","","","","","","20200627_B12_TF_D_789_16S.exp.","20200627_B12_TF_D_789_18S.exp.",NA,NA
"20200627_B12_TF_C_790_18S.exp.",790,"20200627_B12_TF_C","20200627_B12_TF_C_790","20200627_B12_TF_C_790","PS122/4_44-234 hand pump","","end of B12 experiment -  Control","",NA,NA,NA,NA,"experiment","20200708","500","no","emelia","16-12","JBCOLD_1","","1.73","emelia",20201125,"9_48","2012220-1","3_8_G10","","","","","","20200627_B12_TF_C_790_16S.exp.","20200627_B12_TF_C_790_18S.exp.","B",NA
"20200627_B12_TF_F_791_18S.exp.",791,"20200627_B12_TF_F","20200627_B12_TF_F_791","20200627_B12_TF_F_791","PS122/4_44-234 hand pump","","end of B12 experiment -  Nuts","",NA,NA,NA,NA,"experiment","20200708","500","no","emelia","16-13","JBCOLD_1","","1.73","emelia",20201125,"9_49","2012220-1","3_8_G11","needs to be resequenced due to bad library build"," A21604-1","20200627_B12_TF_F_791","1_1_D12","","20200627_B12_TF_F_791_16S.exp.","20200627_B12_TF_F_791_18S.exp.","C",NA
"20200627_B12_TF_G_792_18S.exp.",792,"20200627_B12_TF_G","20200627_B12_TF_G_792","20200627_B12_TF_G_792","PS122/4_44-234 hand pump","","end of B12 experiment -  Nuts + B12","",NA,NA,NA,NA,"experiment","20200708","500","no","emelia","16-14","JBCOLD_1","","0.266","emelia",20201125,"9_50","2012220-1","3_8_G12","","","","","","20200627_B12_TF_G_792_16S.exp.","20200627_B12_TF_G_792_18S.exp.",NA,NA
"20200627_B12_TF_H_793_18S.exp.",793,"20200627_B12_TF_H","20200627_B12_TF_H_793","20200627_B12_TF_H_793","PS122/4_44-234 hand pump","","end of B12 experiment -  Nuts + B12","",NA,NA,NA,NA,"experiment","20200708","480","no","emelia","16-15","JBCOLD_1","","0.103","emelia",20201125,"9_51","2012220-1","3_8_H1","","","","","","20200627_B12_TF_H_793_16S.exp.","20200627_B12_TF_H_793_18S.exp.",NA,NA
"20200627_B12_TF_I_794_18S.exp.",794,"20200627_B12_TF_I","20200627_B12_TF_I_794","20200627_B12_TF_I_794","PS122/4_44-234 hand pump","","end of B12 experiment -  Nuts + B12","",NA,NA,NA,NA,"experiment","20200708","500","no","emelia","16-16","JBCOLD_1","","2.21","emelia",20201125,"9_52","2012220-1","3_8_H2","","","","","","20200627_B12_TF_I_794_16S.exp.","20200627_B12_TF_I_794_18S.exp.",NA,NA
"20200709_FT_DNA_795_18S.exp.",795,"20200709_FT_DNA","20200709_FT_DNA_795","20200709_FT_DNA_795","PS122/4_46-156 seawatertap_ps","","09.07.2020 19:16","11 m",11,NA,NA,NA,"FT_DNA","20200709","1000","no","emelia","16-17","JBCOLD_1","","10.5","emelia",20201125,"9_53","2012220-1","3_8_H3","needs to be resequenced due to bad library build"," A21604-1","20200709_FT_DNA_795","1_1_E10","","20200709_FT_DNA_795_16S.exp.","20200709_FT_DNA_795_18S.exp.",NA,"C"
"20200709_PS_N2_796_18S.exp.",796,"20200709_PS_N2","20200709_PS_N2_796","20200709_PS_N2_796","PS122/4_46-60 CTD_SBE9plus_321","2","ECO/Oean/BGC deep cast","",NA,1155.026,-0.7522,34.9174,"CTD","20200709","1000","no","emelia","16-18","JBCOLD_1","","1.27","emelia",20201125,"9_54","2012220-1","3_8_H4",""," A21604-1","20200709_PS_N2_796","1_1_F1","","20200709_PS_N2_796_16S.exp.","20200709_PS_N2_796_18S.exp.",NA,NA
"20200709_PS_N7_797_18S.exp.",797,"20200709_PS_N7","20200709_PS_N7_797","20200709_PS_N7_797","PS122/4_46-60 CTD_SBE9plus_321","7","ECO/Oean/BGC deep cast","",NA,354.22,1.4037,34.8826,"CTD","20200709","1000","no","emelia","16-19","JBCOLD_1","","1.21","emelia",20201125,"9_55","2012220-1","3_8_H5","","","","","","20200709_PS_N7_797_16S.exp.","20200709_PS_N7_797_18S.exp.",NA,NA
"20200709_PS_N9_798_18S.exp.",798,"20200709_PS_N9","20200709_PS_N9_798","20200709_PS_N9_798","PS122/4_46-60 CTD_SBE9plus_321","9","ECO/Oean/BGC deep cast","",NA,207.49,2.2681,34.875,"CTD","20200709","1000","no","emelia","16-20","JBCOLD_1","","1.53","emelia",20201125,"9_56","2012220-1","3_8_H6","","","","","","20200709_PS_N9_798_16S.exp.","20200709_PS_N9_798_18S.exp.",NA,"A"
"20200709_PS_N13_799_18S.exp.",799,"20200709_PS_N13","20200709_PS_N13_799","20200709_PS_N13_799","PS122/4_46-60 CTD_SBE9plus_321","13","ECO/Oean/BGC deep cast","",NA,101.091,-1.6401,34.1534,"CTD","20200709","1000","no","emelia","16-21","JBCOLD_1","","1.42","emelia",20201125,"9_57","2012220-1","3_8_H7","needs to be resequenced due to bad library build"," A21604-1","20200709_PS_N13_799","1_1_E11","","20200709_PS_N13_799_16S.exp.","20200709_PS_N13_799_18S.exp.",NA,"B"
"20200709_PS_N18_800_18S.exp.",800,"20200709_PS_N18","20200709_PS_N18_800","20200709_PS_N18_800","PS122/4_46-60 CTD_SBE9plus_321","18","ECO/Oean/BGC deep cast","",NA,31.368,-1.7434,33.9405,"CTD","20200709","1000","no","emelia","16-22","JBCOLD_1","","5.29","emelia",20201125,"9_58","2012220-1","3_8_H8","needs to be resequenced due to bad library build"," A21604-1","20200709_PS_N18_800","1_1_E12","","20200709_PS_N18_800_16S.exp.","20200709_PS_N18_800_18S.exp.",NA,"A"
"20200709_PS_N24_801_18S.exp.",801,"20200709_PS_N24","20200709_PS_N24_801","20200709_PS_N24_801","PS122/4_46-60 CTD_SBE9plus_321","24","ECO/Oean/BGC deep cast","",NA,2.242,-1.7222,33.722,"CTD","20200709","1000","no","emelia","16-23","JBCOLD_1","","8.04","emelia",20201125,"9_59","2012220-1","3_8_H9","","","","","","20200709_PS_N24_801_16S.exp.","20200709_PS_N24_801_18S.exp.",NA,NA
"20200710_FT_DNA_802_18S.exp.",802,"20200710_FT_DNA","20200710_FT_DNA_802","20200710_FT_DNA_802","PS122/4_46-157 seawatertap_ps","","10.07.2020 21:06","11 m",11,NA,NA,NA,"FT_DNA","20200710","1000","no","emelia","16-24","JBCOLD_1","","14.3","emelia",20201125,"9_60","2012220-1","3_8_H10","","","","","","20200710_FT_DNA_802_16S.exp.","20200710_FT_DNA_802_18S.exp.",NA,NA
"20200710_sedtrap_surface_1200_803_18S.exp.",803,"20200710_sedtrap_surface(12:00)","20200710_sedtrap_surface(12:00)_803","20200710_sedtrap_surface_1200_803","PS122/4_46-168 water_sampler","","T0 MethOx sampling during 24 hr diurnal cycle study, collected from FYI sediment trap slot, surface water collected approx. 12:00pm","surface",0,NA,NA,NA,"Under_Ice","20200710","500","no","emelia","16-25","JBCOLD_1","","0.509","emelia",20201125,"9_61","2012220-1","3_8_H11","","","","","","20200710_sedtrap_surface_1200_803_16S.exp.","20200710_sedtrap_surface_1200_803_18S.exp.",NA,NA
"20200710_sedtrap_belowice_800_804_18S.exp.",804,"20200710_sedtrap_belowice(8:00)","20200710_sedtrap_belowice(8:00)_804","20200710_sedtrap_belowice_800_804","PS122/4_46-220 hand_pump","","T0.5 MethOx sampling during 24 hr diurnal cycle study, collected from FYI sediment trap slot, below ice water (~5m) collected approx. 8:00pm","5 m",5,NA,NA,NA,"Under_Ice","20200710","500","no","emelia","16-26","JBCOLD_1","","9.17","emelia",20201125,"9_62","2012220-1","3_8_H12","","","","","","20200710_sedtrap_belowice_800_804_16S.exp.","20200710_sedtrap_belowice_800_804_18S.exp.",NA,NA
"20200711_sedtrap_belowice_0000_807_18S.exp.",807,"20200711_sedtrap_belowice(00:00)","20200711_sedtrap_belowice(00:00)_807","20200711_sedtrap_belowice_0000_807","PS122/4_46-169 water_sampler","","T1 MethOx sampling during 24 hr diurnal cycle study, collected from FYI sediment trap slot, below ice water (~5m) collected approx. 00:00","5 m",5,NA,NA,NA,"Under_Ice","20200711","375","no","emelia","16-29","JBCOLD_1","","4.75","emelia",20201125,"9_63","2012220-1","3_9_A1","","","","","","20200711_sedtrap_belowice_0000_807_16S.exp.","20200711_sedtrap_belowice_0000_807_18S.exp.",NA,NA
"20200711_lead_surface_809_18S.exp.",809,"20200711_lead_surface","20200711_lead_surface_809","20200711_lead_surface_809","PS122/4_46-161 water_probe","","Opportunistic sampling of unique lead stratification feature, top fresh water, methox T0","surface",0,NA,NA,NA,"Lead ","20200711","500","no","emelia","16-31","JBCOLD_1","","4.08","emelia",20201125,"9_64","2012220-1","3_9_A2","","","","","","20200711_lead_surface_809_16S.exp.","20200711_lead_surface_809_18S.exp.",NA,NA
"20200711_lead_mid_1m_811_18S.exp.",811,"20200711_lead_mid(~1m)","20200711_lead_mid(~1m)_811","20200711_lead_mid_1m_811","PS122/4_46-161 water_probe","","Opportunistic sampling of unique lead stratification feature, algal bloom layer, methox T0","1 m",1,NA,NA,NA,"Lead ","20200711","450","no","emelia","16-33","JBCOLD_1","","1.79","emelia",20201125,"9_65","2012220-1","3_9_A3","","","","","","20200711_lead_mid_1m_811_16S.exp.","20200711_lead_mid_1m_811_18S.exp.",NA,NA
"20200711_lead_below_2m_813_18S.exp.",813,"20200711_lead_below(~2m)","20200711_lead_below(~2m)_813","20200711_lead_below_2m_813","PS122/4_46-161 water_probe","","Opportunistic sampling of unique lead stratification feature, underlying seawater, methox T0","2 m",2,NA,NA,NA,"Lead ","20200711","250","no","emelia","16-35","JBCOLD_1","","1.87","emelia",20201125,"9_66","2012220-1","3_9_A4","","","","","","20200711_lead_below_2m_813_16S.exp.","20200711_lead_below_2m_813_18S.exp.",NA,NA
"20200711_sedtrap_belowice_0800_815_18S.exp.",815,"20200711_sedtrap_belowice(08:00)","20200711_sedtrap_belowice(08:00)_815","20200711_sedtrap_belowice_0800_815","PS122/4_46-170 water_sampler","","T1.5 MethOx sampling during 24 hr diurnal cycle study, collected from FYI sediment trap slot, below ice water (~5m) collected approx. 04:00","5 m",5,NA,NA,NA,"Under_Ice","20200711","500","no","emelia","16-37","JBCOLD_1","","6.11","emelia",20201125,"9_67","2012220-1","3_9_A5","","","","","","20200711_sedtrap_belowice_0800_815_16S.exp.","20200711_sedtrap_belowice_0800_815_18S.exp.",NA,NA
"20200711_sedtrap_belowice_1200_817_18S.exp.",817,"20200711_sedtrap_belowice(12:00)","20200711_sedtrap_belowice(12:00)_817","20200711_sedtrap_belowice_1200_817","PS122/4_46-171 water_sampler","","T2 MethOx sampling during 24 hr diurnal cycle study, collected from FYI sediment trap slot, below ice water (~5m) collected approx. 00:00","5 m ",5,NA,NA,NA,"Under_Ice","20200711","450","no","emelia","16-39","JBCOLD_1","","4.98","emelia",20201125,"9_68","2012220-1","3_9_A6","","","","","","20200711_sedtrap_belowice_1200_817_16S.exp.","20200711_sedtrap_belowice_1200_817_18S.exp.",NA,NA
"20200711_sedtrap_surface_1200_819_18S.exp.",819,"20200711_sedtrap_surface(12:00)","20200711_sedtrap_surface(12:00)_819","20200711_sedtrap_surface_1200_819","PS122/4_46-171 water_sampler","","T2 MethOx sampling during 24 hr diurnal cycle study, collected from FYI sediment trap slot, surface  collected approx. 12 pm ","surface",0,NA,NA,NA,"Under_Ice","20200711","450","no","emelia","16-41","JBCOLD_1","","1.08","emelia",20201125,"9_69","2012220-1","3_9_A7","","","","","","20200711_sedtrap_surface_1200_819_16S.exp.","20200711_sedtrap_surface_1200_819_18S.exp.",NA,NA
"20200711_FT_DNA_821_18S.exp.",821,"20200711_FT_DNA","20200711_FT_DNA_821","20200711_FT_DNA_821","PS122/4_46-158 seawatertap_ps","","11.07.2020 18:00","11 m",11,NA,NA,NA,"FT_DNA","20200711","1000","no","emelia","16-43","JBCOLD_1","","17.2","emelia",20201125,"9_70","2012220-1","3_9_A8","","","","","","20200711_FT_DNA_821_16S.exp.","20200711_FT_DNA_821_18S.exp.",NA,NA
"20200712_FT_DNA_822_18S.exp.",822,"20200712_FT_DNA","20200712_FT_DNA_822","20200712_FT_DNA_822","PS122/4_46-159 seawatertap_ps","","12.07.2020 17:38","11 m",11,NA,NA,NA,"FT_DNA","20200712","1000","no","emelia","16-44","JBCOLD_1","","10.2","emelia",20201125,"9_71","2012220-1","3_9_A9","","","","","","20200712_FT_DNA_822_16S.exp.","20200712_FT_DNA_822_18S.exp.",NA,NA
"20200713_FT_DNA_823_18S.exp.",823,"20200713_FT_DNA","20200713_FT_DNA_823","20200713_FT_DNA_823","PS122/4_47-15 seawatertap_ps","","13.07.2020 21:02","11 m",11,NA,NA,NA,"FT_DNA","20200713","1000","no","emelia","16-45","JBCOLD_1","","5.06","emelia",20201125,"9_72","2012220-1","3_9_A10","","","","","","20200713_FT_DNA_823_16S.exp.","20200713_FT_DNA_823_18S.exp.",NA,NA
"20200713_underice_Ecolodge_824_18S.exp.",824,"20200713_underice_Ecolodge","20200713_underice_Ecolodge_824","20200713_underice_Ecolodge_824","PS122/4_48-235 hand_pump","","Opportunistic sample collection from water pumped from directly under ice at the eco lodge in logistics area, targeted green layer between freshwater lens and underlying saltwater. Samples also collected for enrch culturing and glycerol stock (samples 01)","under ice,1",NA,NA,NA,NA,"Under_Ice","20200713","1000","no","emelia","16-46","JBCOLD_1","","7.02","emelia",20201125,"9_73","2012220-1","3_9_A11","","","","","","20200713_underice_Ecolodge_824_16S.exp.","20200713_underice_Ecolodge_824_18S.exp.",NA,NA
"20200714_FT_DNA_825_18S.exp.",825,"20200714_FT_DNA","20200714_FT_DNA_825","20200714_FT_DNA_825","PS122/4_47-30 seawatertap_ps","","14.07.2020 16:52","11 m",11,NA,NA,NA,"FT_DNA","20200714","1000","no","emelia","16-47","JBCOLD_1","","9.83","emelia",20201125,"9_74","2012220-1","3_9_A12","","","","","","20200714_FT_DNA_825_16S.exp.","20200714_FT_DNA_825_18S.exp.",NA,NA
"20200713_SYI_bottom15_826_18S.exp.",826,"20200713_SYI_bottom15","20200713_SYI_bottom15_826","20200713_SYI_bottom15_826","PS122/4_47-18 SI_corer_9cm","","Bag IC007 MethOx T0","0-15 cm",NA,NA,NA,NA,"ICE","20200714","1000","no","emelia","16-48","JBCOLD_1","","1.92","emelia",20201125,"9_75","2012220-1","3_9_B1","","","","","","20200713_SYI_bottom15_826_16S.exp.","20200713_SYI_bottom15_826_18S.exp.",NA,NA
"20200713_SYI_top15_828_18S.exp.",828,"20200713_SYI_top15","20200713_SYI_top15_828","20200713_SYI_top15_828","PS122/4_47-18 SI_corer_9cm","","Bag IC006 MethOx T0","top 15 cm",NA,NA,NA,NA,"ICE","20200714","1000","no","emelia","16-50","JBCOLD_1","very dark - sediments? ","2.16","emelia",20201125,"9_76","2012220-1","3_9_B2","","","","","","20200713_SYI_top15_828_16S.exp.","20200713_SYI_top15_828_18S.exp.",NA,NA
"20200715_FT_DNA_832_18S.exp.",832,"20200715_FT_DNA","20200715_FT_DNA_832","20200715_FT_DNA_832","PS122/4_47-78 seawatertap_ps","","15.07.2020 15:23","11 m",11,NA,NA,NA,"FT_DNA","20200715","1000","no","emelia","16-54","JBCOLD_1","","16.7","emelia",20201125,"9_77","2012220-1","3_9_B3","","","","","","20200715_FT_DNA_832_16S.exp.","20200715_FT_DNA_832_18S.exp.","A",NA
"20200716_FT_DNA_833_18S.exp.",833,"20200716_FT_DNA","20200716_FT_DNA_833","20200716_FT_DNA_833","PS122/4_47-79 seawatertap_ps","","16.07.2020 18:00","11 m",11,NA,NA,NA,"FT_DNA","20200716","1000","no","emelia","16-55","JBCOLD_1","","22.4","emelia",20201125,"9_78","2012220-1","3_9_B4","","","","","","20200716_FT_DNA_833_16S.exp.","20200716_FT_DNA_833_18S.exp.","B",NA
"20200716_PS_N2_834_18S.exp.",834,"20200716_PS_N2","20200716_PS_N2_834","20200716_PS_N2_834","PS122/4_47-60 CTD_SBE9plus_321","2","ECO/Oean/BGC deep cast","",NA,2562.397,-0.7182,34.9297,"CTD","20200716","1000","no","emelia","16-56","JBCOLD_1","","0.327","emelia",20201125,"9_79","2012220-1","3_9_B5","","","","","","20200716_PS_N2_834_16S.exp.","20200716_PS_N2_834_18S.exp.",NA,NA
"20200716_PS_N3_836_18S.exp.",836,"20200716_PS_N3","20200716_PS_N3_836","20200716_PS_N3_836","PS122/4_47-60 CTD_SBE9plus_321","3","ECO/Oean/BGC deep cast","",NA,2235.662,-0.7287,34.9212,"CTD","20200716","1000","no","emelia","16-58","JBCOLD_1","","0.542","emelia",20201125,"9_80","2012220-1","3_9_B6","","","","","","20200716_PS_N3_836_16S.exp.","20200716_PS_N3_836_18S.exp.",NA,NA
"20200716_PS_N5_837_18S.exp.",837,"20200716_PS_N5","20200716_PS_N5_837","20200716_PS_N5_837","PS122/4_47-60 CTD_SBE9plus_321","5","ECO/Oean/BGC deep cast","",NA,1521.757,-0.5786,34.9221,"CTD","20200716","1000","no","emelia","16-59","JBCOLD_1","","0.843","emelia",20201125,"9_81","2012220-1","3_9_B7","","","","","","20200716_PS_N5_837_16S.exp.","20200716_PS_N5_837_18S.exp.",NA,NA
"20200716_PS_N7_838_18S.exp.",838,"20200716_PS_N7","20200716_PS_N7_838","20200716_PS_N7_838","PS122/4_47-60 CTD_SBE9plus_321","7","ECO/Oean/BGC deep cast","",NA,911.764,-0.0738,34.9091,"CTD","20200716","1000","no","emelia","16-60","JBCOLD_1","","1.1","emelia",20201125,"10_1","2012220-1","3_9_B8","","","","","","20200716_PS_N7_838_16S.exp.","20200716_PS_N7_838_18S.exp.",NA,NA
"20200716_PS_N8_839_18S.exp.",839,"20200716_PS_N8","20200716_PS_N8_839","20200716_PS_N8_839","PS122/4_47-60 CTD_SBE9plus_321","8","ECO/Oean/BGC deep cast","",NA,506.367,1.0682,34.8938,"CTD","20200716","1000","no","emelia","16-61","JBCOLD_1","","0.591","emelia",20201125,"10_2","2012220-1","3_9_B9","","","","","","20200716_PS_N8_839_16S.exp.","20200716_PS_N8_839_18S.exp.",NA,NA
